,Date,Crude Closing
0,2022-01-03,76.08
1,2022-01-04,76.99
2,2022-01-05,77.85
3,2022-01-06,79.46
4,2022-01-07,78.9
5,2022-01-10,78.23
6,2022-01-11,81.22
7,2022-01-12,82.64
8,2022-01-13,82.12
9,2022-01-14,83.82
10,2022-01-18,85.43
11,2022-01-19,86.96
12,2022-01-20,86.9
13,2022-01-21,85.14
14,2022-01-24,83.31
15,2022-01-25,85.6
16,2022-01-26,87.35
17,2022-01-27,86.61
18,2022-01-28,86.82
19,2022-01-31,88.15
20,2022-02-01,88.2
21,2022-02-02,88.26
22,2022-02-03,90.27
23,2022-02-04,92.31
24,2022-02-07,91.32
25,2022-02-08,89.36
26,2022-02-09,89.66
27,2022-02-10,89.88
28,2022-02-11,93.1
29,2022-02-14,95.46
30,2022-02-15,92.07
31,2022-02-16,93.66
32,2022-02-17,91.76
33,2022-02-18,91.07
34,2022-02-22,92.35
35,2022-02-23,92.1
36,2022-02-24,92.81
37,2022-02-25,91.59
38,2022-02-28,95.72
39,2022-03-01,103.41
40,2022-03-02,110.6
41,2022-03-03,107.67
42,2022-03-04,115.68
43,2022-03-07,119.4
44,2022-03-08,123.7
45,2022-03-09,108.7
46,2022-03-10,106.02
47,2022-03-11,109.33
48,2022-03-14,103.01
49,2022-03-15,96.44
50,2022-03-16,95.04
51,2022-03-17,102.98
52,2022-03-18,104.7
53,2022-03-21,112.12
54,2022-03-22,111.76
55,2022-03-23,114.93
56,2022-03-24,112.34
57,2022-03-25,113.9
58,2022-03-28,105.96
59,2022-03-29,104.24
60,2022-03-30,107.82
61,2022-03-31,100.28
62,2022-04-01,99.27
63,2022-04-04,103.28
64,2022-04-05,101.96
65,2022-04-06,96.23
66,2022-04-07,96.03
67,2022-04-08,98.26
68,2022-04-11,94.29
69,2022-04-12,100.6
70,2022-04-13,104.25
71,2022-04-14,106.95
72,2022-04-18,108.21
73,2022-04-19,102.56
74,2022-04-20,102.75
75,2022-04-21,103.79
76,2022-04-22,102.07
77,2022-04-25,98.54
78,2022-04-26,101.7
79,2022-04-27,102.02
80,2022-04-28,105.36
81,2022-04-29,104.69
82,2022-05-02,105.17
83,2022-05-03,102.41
84,2022-05-04,107.81
85,2022-05-05,108.26
86,2022-05-06,109.77
87,2022-05-09,103.09
88,2022-05-10,99.76
89,2022-05-11,105.71
90,2022-05-12,106.13
91,2022-05-13,110.49
92,2022-05-16,114.2
93,2022-05-17,112.4
94,2022-05-18,109.59
95,2022-05-19,112.21
96,2022-05-20,113.23
97,2022-05-23,110.29
98,2022-05-24,109.77
99,2022-05-25,110.33
100,2022-05-26,114.09
101,2022-05-27,115.07
102,2022-05-31,114.67
103,2022-06-01,115.26
104,2022-06-02,116.87
105,2022-06-03,118.87
106,2022-06-06,118.5
107,2022-06-07,119.41
108,2022-06-08,122.11
109,2022-06-09,121.51
110,2022-06-10,120.67
111,2022-06-13,120.93
112,2022-06-14,118.93
113,2022-06-15,115.31
114,2022-06-16,117.59
115,2022-06-17,109.56
116,2022-06-21,110.65
117,2022-06-22,106.19
118,2022-06-23,104.27
119,2022-06-24,107.62
120,2022-06-27,109.57
121,2022-06-28,111.76
122,2022-06-29,109.78
123,2022-06-30,105.76
124,2022-07-01,108.43
125,2022-07-05,99.5
126,2022-07-06,98.53
127,2022-07-07,102.73
128,2022-07-08,104.79
129,2022-07-11,104.09
130,2022-07-12,95.84
131,2022-07-13,96.3
132,2022-07-14,95.78
133,2022-07-15,97.59
134,2022-07-18,102.6
135,2022-07-19,104.22
136,2022-07-20,102.26
137,2022-07-21,96.35
138,2022-07-22,94.7
139,2022-07-25,96.7
140,2022-07-26,94.98
141,2022-07-27,97.26
142,2022-07-28,96.42
143,2022-07-29,98.62
144,2022-08-01,93.89
145,2022-08-02,94.42
146,2022-08-03,90.66
147,2022-08-04,88.54
148,2022-08-05,89.01
149,2022-08-08,90.76
150,2022-08-09,90.5
151,2022-08-10,91.93
152,2022-08-11,94.34
153,2022-08-12,92.09
154,2022-08-15,89.41
155,2022-08-16,86.53
156,2022-08-17,88.11
157,2022-08-18,90.5
158,2022-08-19,90.77
159,2022-08-22,90.23
160,2022-08-23,93.74
161,2022-08-24,94.89
162,2022-08-25,92.52
163,2022-08-26,93.06
164,2022-08-29,97.01
165,2022-08-30,91.64
166,2022-08-31,89.55
167,2022-09-01,86.61
168,2022-09-02,86.87
169,2022-09-06,86.88
170,2022-09-07,81.94
171,2022-09-08,83.54
172,2022-09-09,86.79
173,2022-09-12,87.78
174,2022-09-13,87.31
175,2022-09-14,88.48
176,2022-09-15,85.1
177,2022-09-16,85.11
178,2022-09-19,85.73
179,2022-09-20,84.45
180,2022-09-21,82.94
181,2022-09-22,83.49
182,2022-09-23,78.74
183,2022-09-26,76.71
184,2022-09-27,78.5
185,2022-09-28,82.15
186,2022-09-29,81.23
187,2022-09-30,79.49
188,2022-10-03,83.63
189,2022-10-04,86.52
190,2022-10-05,87.76
191,2022-10-06,88.45
192,2022-10-07,92.64
193,2022-10-10,91.13
194,2022-10-11,89.35
195,2022-10-12,87.27
196,2022-10-13,89.11
197,2022-10-14,85.61
198,2022-10-17,85.46
199,2022-10-18,82.82
200,2022-10-19,85.55
201,2022-10-20,85.98
202,2022-10-21,85.05
203,2022-10-24,84.58
204,2022-10-25,85.32
205,2022-10-26,87.91
206,2022-10-27,89.08
207,2022-10-28,87.9
208,2022-10-31,86.53
209,2022-11-01,88.37
210,2022-11-02,90.0
211,2022-11-03,88.17
212,2022-11-04,92.61
213,2022-11-07,91.79
214,2022-11-08,88.91
215,2022-11-09,85.83
216,2022-11-10,86.47
217,2022-11-11,88.96
218,2022-11-14,85.87
219,2022-11-15,86.92
220,2022-11-16,85.59
221,2022-11-17,81.64
222,2022-11-18,80.08
223,2022-11-21,79.73
224,2022-11-22,80.95
225,2022-11-23,77.94
226,2022-11-25,76.28
227,2022-11-28,77.24
228,2022-11-29,78.2
229,2022-11-30,80.55
230,2022-12-01,81.22
231,2022-12-02,79.98
232,2022-12-05,76.93
233,2022-12-06,74.25
234,2022-12-07,72.01
235,2022-12-08,71.46
236,2022-12-09,71.02
237,2022-12-12,73.17
238,2022-12-13,75.39
239,2022-12-14,77.28
240,2022-12-15,76.11
241,2022-12-16,74.29
242,2022-12-19,75.19
